current_round,agents_data,death_data,birth_data
13,"(792, 720)","(33, 0)","(526, 88)"
14,"(572, 818)","(185, 0)","(4, 98)"
15,"(1355, 951)","(100, 1)","(900, 134)"
16,"(977, 1068)","(303, 1)","(6, 118)"
17,"(2229, 1186)","(190, 0)","(1480, 118)"
18,"(1514, 1298)","(567, 0)","(10, 112)"
19,"(1137, 1394)","(323, 0)","(44, 96)"
20,"(2735, 1476)","(20, 0)","(1622, 82)"
21,"(1886, 1584)","(672, 0)","(16, 108)"
2,"(89, 300)","(8, 0)","(0, 0)"
3,"(77, 300)","(11, 0)","(0, 0)"
4,"(219, 334)","(0, 0)","(142, 34)"
5,"(176, 386)","(36, 0)","(0, 52)"
6,"(149, 386)","(23, 0)","(0, 0)"
7,"(398, 462)","(1, 0)","(250, 76)"
8,"(305, 494)","(76, 0)","(0, 32)"
9,"(253, 532)","(48, 0)","(2, 38)"
10,"(648, 590)","(5, 0)","(400, 58)"
11,"(488, 624)","(132, 0)","(2, 34)"
12,"(380, 637)","(89, 5)","(2, 18)"
13,"(319, 673)","(64, 0)","(10, 36)"
14,"(771, 711)","(4, 0)","(456, 38)"
15,"(580, 827)","(162, 0)","(10, 116)"
16,"(1306, 935)","(91, 0)","(836, 108)"
17,"(954, 1036)","(294, 1)","(18, 102)"
18,"(786, 1071)","(198, 1)","(68, 36)"
19,"(1814, 1191)","(21, 2)","(1052, 122)"
20,"(1342, 1298)","(431, 1)","(68, 108)"
21,"(2669, 1397)","(279, 1)","(1672, 100)"
2,"(84, 300)","(12, 0)","(0, 0)"
3,"(69, 300)","(14, 0)","(0, 0)"
4,"(192, 332)","(5, 0)","(128, 32)"
5,"(154, 394)","(34, 0)","(0, 62)"
6,"(399, 448)","(18, 0)","(266, 54)"
7,"(302, 458)","(79, 0)","(0, 10)"
8,"(244, 508)","(52, 0)","(0, 50)"
9,"(652, 568)","(0, 0)","(408, 60)"
10,"(479, 648)","(136, 0)","(0, 80)"
11,"(1068, 714)","(90, 0)","(696, 66)"
12,"(750, 753)","(250, 1)","(0, 40)"
13,"(563, 799)","(156, 0)","(0, 46)"
14,"(1347, 901)","(88, 0)","(894, 102)"
15,"(946, 937)","(322, 0)","(0, 36)"
16,"(710, 964)","(193, 1)","(0, 28)"
17,"(1691, 1054)","(119, 0)","(1124, 90)"
18,"(1172, 1144)","(406, 0)","(0, 90)"
19,"(865, 1209)","(252, 3)","(0, 68)"
20,"(2228, 1391)","(1, 0)","(1364, 182)"
21,"(1560, 1508)","(517, 1)","(0, 118)"
2,"(86, 300)","(13, 0)","(0, 0)"
3,"(74, 300)","(10, 0)","(0, 0)"
4,"(74, 300)","(0, 0)","(0, 0)"
5,"(183, 368)","(1, 0)","(110, 68)"
6,"(150, 418)","(27, 0)","(0, 50)"
7,"(368, 466)","(17, 0)","(238, 48)"
8,"(297, 510)","(58, 0)","(0, 44)"
9,"(256, 540)","(47, 0)","(12, 30)"
10,"(257, 566)","(3, 0)","(4, 26)"
11,"(568, 628)","(17, 0)","(330, 62)"
12,"(433, 655)","(111, 3)","(0, 30)"
13,"(367, 703)","(68, 0)","(14, 48)"
14,"(825, 781)","(54, 0)","(518, 78)"
15,"(603, 835)","(183, 0)","(0, 54)"
16,"(512, 877)","(94, 0)","(24, 42)"
17,"(1168, 975)","(78, 0)","(750, 98)"
18,"(870, 1029)","(241, 2)","(0, 56)"
19,"(708, 1048)","(154, 1)","(24, 20)"
20,"(603, 1137)","(112, 1)","(24, 90)"
21,"(1456, 1227)","(15, 2)","(870, 92)"
2,"(89, 300)","(10, 0)","(0, 0)"
3,"(74, 300)","(11, 0)","(0, 0)"
4,"(204, 332)","(5, 0)","(136, 32)"
5,"(162, 364)","(37, 0)","(0, 32)"
6,"(399, 438)","(25, 0)","(266, 74)"
7,"(305, 450)","(77, 0)","(0, 12)"
8,"(240, 502)","(57, 0)","(0, 52)"
9,"(637, 554)","(1, 0)","(398, 52)"
10,"(465, 612)","(135, 0)","(0, 58)"
11,"(368, 684)","(78, 0)","(0, 72)"
12,"(914, 715)","(8, 3)","(554, 34)"
13,"(652, 763)","(216, 0)","(2, 48)"
14,"(530, 819)","(118, 0)","(22, 56)"
15,"(1262, 893)","(16, 0)","(748, 74)"
16,"(893, 973)","(296, 0)","(4, 80)"
17,"(1962, 1069)","(166, 0)","(1270, 96)"
18,"(1345, 1151)","(472, 0)","(6, 82)"
19,"(972, 1180)","(307, 2)","(2, 32)"
20,"(851, 1207)","(172, 1)","(90, 28)"
21,"(1916, 1293)","(35, 0)","(1104, 86)"
2,"(89, 300)","(9, 0)","(0, 0)"
3,"(81, 300)","(8, 0)","(0, 0)"
4,"(216, 334)","(9, 0)","(144, 34)"
5,"(165, 352)","(43, 0)","(0, 18)"
6,"(142, 360)","(21, 0)","(0, 8)"
7,"(373, 412)","(16, 0)","(248, 52)"
8,"(287, 444)","(69, 0)","(0, 32)"
9,"(233, 460)","(48, 0)","(0, 16)"
10,"(582, 518)","(34, 0)","(386, 58)"
11,"(430, 532)","(116, 0)","(0, 14)"
12,"(337, 562)","(77, 6)","(0, 36)"
13,"(810, 646)","(55, 0)","(538, 84)"
14,"(586, 664)","(178, 0)","(0, 18)"
15,"(461, 750)","(105, 0)","(0, 86)"
16,"(1194, 784)","(1, 2)","(734, 36)"
17,"(839, 817)","(278, 1)","(2, 34)"
18,"(617, 922)","(183, 1)","(0, 106)"
19,"(1487, 1009)","(12, 1)","(882, 88)"
20,"(1065, 1057)","(339, 0)","(4, 48)"
21,"(2247, 1144)","(210, 1)","(1442, 88)"
2,"(88, 300)","(10, 0)","(0, 0)"
3,"(77, 300)","(8, 0)","(0, 0)"
4,"(67, 300)","(9, 0)","(0, 0)"
5,"(189, 312)","(0, 0)","(122, 12)"
6,"(155, 346)","(30, 0)","(0, 34)"
7,"(382, 376)","(21, 0)","(252, 30)"
8,"(282, 412)","(82, 0)","(0, 36)"
9,"(221, 436)","(55, 0)","(2, 24)"
10,"(526, 490)","(36, 0)","(348, 54)"
11,"(389, 550)","(109, 0)","(0, 60)"
12,"(308, 573)","(73, 1)","(4, 24)"
13,"(248, 607)","(50, 0)","(0, 34)"
14,"(649, 705)","(1, 0)","(402, 98)"
15,"(499, 735)","(124, 0)","(6, 30)"
16,"(397, 787)","(85, 0)","(0, 52)"
17,"(986, 905)","(4, 0)","(594, 118)"
18,"(754, 1039)","(197, 0)","(12, 134)"
19,"(626, 1074)","(129, 1)","(28, 36)"
20,"(1471, 1132)","(12, 0)","(858, 58)"
21,"(1064, 1165)","(328, 3)","(0, 36)"
2,"(89, 300)","(10, 0)","(0, 0)"
3,"(74, 300)","(13, 0)","(0, 0)"
4,"(63, 300)","(9, 0)","(0, 0)"
5,"(177, 320)","(4, 0)","(118, 20)"
6,"(138, 328)","(34, 0)","(0, 8)"
7,"(113, 334)","(19, 0)","(0, 6)"
8,"(294, 382)","(11, 0)","(196, 48)"
9,"(237, 404)","(48, 0)","(0, 22)"
10,"(189, 430)","(41, 0)","(0, 26)"
11,"(485, 490)","(25, 0)","(322, 60)"
12,"(367, 526)","(99, 0)","(0, 36)"
13,"(297, 606)","(60, 0)","(2, 80)"
14,"(772, 690)","(1, 0)","(476, 84)"
15,"(572, 772)","(168, 0)","(4, 82)"
16,"(1267, 904)","(101, 0)","(814, 132)"
17,"(906, 952)","(282, 0)","(0, 48)"
18,"(692, 976)","(175, 2)","(8, 26)"
19,"(1617, 1098)","(118, 2)","(1064, 124)"
20,"(1157, 1166)","(374, 0)","(16, 68)"
21,"(2552, 1316)","(236, 0)","(1682, 150)"
2,"(88, 300)","(11, 0)","(0, 0)"
3,"(77, 300)","(11, 0)","(0, 0)"
4,"(69, 300)","(8, 0)","(0, 0)"
5,"(191, 310)","(0, 0)","(122, 10)"
6,"(155, 360)","(28, 0)","(0, 50)"
7,"(373, 404)","(23, 0)","(244, 44)"
8,"(279, 426)","(77, 0)","(0, 22)"
9,"(226, 458)","(45, 0)","(0, 32)"
10,"(594, 536)","(0, 0)","(368, 78)"
11,"(438, 582)","(127, 0)","(0, 46)"
12,"(337, 634)","(83, 2)","(0, 54)"
13,"(854, 668)","(7, 0)","(524, 34)"
14,"(610, 698)","(188, 0)","(0, 30)"
15,"(470, 786)","(116, 0)","(0, 88)"
16,"(1187, 920)","(4, 0)","(722, 134)"
17,"(862, 976)","(263, 0)","(2, 56)"
18,"(1865, 1080)","(164, 0)","(1210, 104)"
19,"(1303, 1112)","(441, 0)","(0, 32)"
20,"(950, 1187)","(283, 1)","(6, 76)"
21,"(2411, 1288)","(9, 1)","(1470, 102)"
2,"(87, 300)","(11, 0)","(0, 0)"
3,"(78, 300)","(9, 0)","(0, 0)"
4,"(71, 300)","(7, 0)","(0, 0)"
5,"(65, 300)","(6, 0)","(0, 0)"
6,"(185, 328)","(0, 0)","(120, 28)"
7,"(150, 342)","(30, 0)","(0, 14)"
8,"(127, 348)","(18, 0)","(0, 6)"
9,"(106, 362)","(17, 0)","(0, 14)"
10,"(298, 418)","(0, 0)","(192, 56)"
11,"(232, 432)","(59, 0)","(0, 14)"
12,"(194, 487)","(33, 3)","(2, 58)"
13,"(193, 493)","(1, 0)","(0, 6)"
14,"(475, 577)","(4, 0)","(286, 84)"
15,"(380, 652)","(84, 1)","(8, 76)"
16,"(934, 720)","(12, 0)","(566, 68)"
17,"(675, 750)","(205, 0)","(0, 30)"
18,"(539, 830)","(127, 0)","(16, 80)"
19,"(1283, 865)","(8, 1)","(752, 36)"
20,"(895, 934)","(304, 1)","(4, 70)"
21,"(748, 1029)","(175, 1)","(68, 96)"
2,"(85, 300)","(13, 0)","(0, 0)"
3,"(73, 300)","(10, 0)","(0, 0)"
4,"(68, 300)","(5, 0)","(0, 0)"
5,"(188, 342)","(0, 0)","(120, 42)"
6,"(157, 364)","(24, 0)","(0, 22)"
7,"(136, 404)","(18, 0)","(0, 40)"
8,"(366, 456)","(0, 0)","(230, 52)"
9,"(283, 484)","(71, 0)","(0, 28)"
10,"(238, 562)","(44, 0)","(8, 78)"
11,"(598, 646)","(4, 0)","(364, 84)"
12,"(464, 694)","(112, 4)","(2, 52)"
13,"(1067, 776)","(78, 0)","(694, 82)"
14,"(784, 836)","(235, 0)","(6, 60)"
15,"(659, 926)","(152, 0)","(62, 90)"
16,"(1522, 998)","(20, 0)","(886, 72)"
17,"(1069, 1022)","(360, 2)","(10, 26)"
18,"(800, 1048)","(219, 0)","(0, 26)"
19,"(685, 1086)","(141, 0)","(52, 38)"
20,"(1540, 1192)","(17, 0)","(874, 106)"
21,"(1127, 1303)","(338, 1)","(18, 112)"
2,"(89, 300)","(9, 0)","(0, 0)"
3,"(78, 300)","(10, 0)","(0, 0)"
4,"(207, 334)","(9, 0)","(138, 34)"
5,"(164, 348)","(35, 0)","(0, 14)"
6,"(142, 354)","(17, 0)","(0, 6)"
7,"(384, 426)","(0, 0)","(242, 72)"
8,"(297, 466)","(70, 0)","(0, 40)"
9,"(240, 514)","(50, 0)","(0, 48)"
10,"(623, 600)","(1, 0)","(384, 86)"
11,"(471, 660)","(121, 0)","(2, 60)"
12,"(1060, 745)","(83, 3)","(690, 88)"
2,"(90, 300)","(10, 0)","(0, 0)"
3,"(82, 300)","(7, 0)","(0, 0)"
4,"(75, 300)","(7, 0)","(0, 0)"
5,"(75, 300)","(0, 0)","(0, 0)"
6,"(192, 324)","(1, 0)","(118, 24)"
7,"(159, 384)","(29, 0)","(0, 60)"
8,"(385, 442)","(19, 0)","(250, 58)"
9,"(297, 460)","(69, 0)","(0, 18)"
10,"(244, 470)","(45, 0)","(4, 10)"
11,"(596, 532)","(36, 0)","(392, 62)"
12,"(439, 558)","(128, 2)","(0, 28)"
13,"(359, 617)","(71, 1)","(16, 60)"
14,"(915, 679)","(5, 0)","(562, 62)"
2,"(87, 300)","(10, 0)","(0, 0)"
3,"(81, 300)","(6, 0)","(0, 0)"
4,"(225, 334)","(0, 0)","(144, 34)"
2,"(87, 300)","(11, 0)","(0, 0)"
3,"(77, 300)","(10, 0)","(0, 0)"
4,"(72, 300)","(5, 0)","(0, 0)"
5,"(206, 318)","(0, 0)","(134, 18)"
6,"(167, 340)","(29, 0)","(0, 22)"
7,"(135, 384)","(27, 0)","(0, 44)"
8,"(133, 390)","(2, 0)","(0, 6)"
9,"(334, 398)","(3, 0)","(204, 8)"
10,"(260, 466)","(65, 0)","(0, 68)"
11,"(223, 502)","(41, 0)","(8, 36)"
12,"(571, 521)","(4, 1)","(352, 20)"
13,"(433, 525)","(116, 0)","(0, 4)"
14,"(341, 543)","(75, 0)","(0, 18)"
15,"(804, 615)","(53, 0)","(524, 72)"
16,"(576, 659)","(180, 2)","(0, 46)"
17,"(486, 735)","(106, 0)","(38, 76)"
18,"(1154, 825)","(16, 2)","(686, 92)"
19,"(812, 871)","(268, 0)","(2, 46)"
20,"(672, 899)","(152, 0)","(44, 28)"
21,"(1394, 970)","(114, 1)","(860, 72)"
2,"(81, 300)","(19, 0)","(0, 0)"
3,"(71, 300)","(10, 0)","(0, 0)"
4,"(66, 300)","(5, 0)","(0, 0)"
5,"(181, 312)","(5, 0)","(120, 12)"
6,"(145, 348)","(36, 0)","(0, 36)"
7,"(124, 390)","(21, 0)","(0, 42)"
8,"(346, 410)","(0, 0)","(222, 20)"
9,"(264, 428)","(82, 0)","(0, 18)"
10,"(209, 490)","(55, 0)","(0, 62)"
11,"(542, 612)","(1, 0)","(334, 122)"
12,"(430, 648)","(122, 2)","(10, 38)"
13,"(949, 760)","(89, 0)","(608, 112)"
14,"(690, 790)","(259, 0)","(0, 30)"
15,"(543, 806)","(153, 2)","(6, 18)"
16,"(436, 829)","(107, 1)","(0, 24)"
17,"(1045, 943)","(81, 0)","(690, 114)"
18,"(771, 983)","(276, 0)","(2, 40)"
19,"(604, 1076)","(177, 1)","(10, 94)"
20,"(1558, 1199)","(4, 1)","(958, 124)"
21,"(1115, 1275)","(445, 2)","(2, 78)"
2,"(88, 300)","(12, 0)","(0, 0)"
3,"(80, 300)","(8, 0)","(0, 0)"
4,"(74, 300)","(6, 0)","(0, 0)"
5,"(67, 300)","(7, 0)","(0, 0)"
6,"(189, 306)","(0, 0)","(122, 6)"
7,"(162, 316)","(27, 0)","(0, 10)"
8,"(130, 374)","(32, 0)","(0, 58)"
9,"(351, 412)","(1, 0)","(222, 38)"
10,"(261, 472)","(90, 0)","(0, 60)"
11,"(622, 538)","(45, 0)","(406, 66)"
12,"(463, 556)","(159, 2)","(0, 20)"
13,"(371, 624)","(100, 0)","(8, 68)"
14,"(962, 710)","(3, 0)","(594, 86)"
15,"(685, 754)","(277, 0)","(0, 44)"
16,"(538, 808)","(161, 0)","(14, 54)"
17,"(1299, 854)","(11, 0)","(772, 46)"
18,"(904, 934)","(395, 0)","(0, 80)"
19,"(722, 1000)","(220, 0)","(38, 66)"
20,"(1667, 1072)","(21, 0)","(966, 72)"
21,"(1161, 1088)","(508, 0)","(2, 16)"
2,"(162, 300)","(38, 0)","(0, 0)"
3,"(131, 300)","(31, 0)","(0, 0)"
4,"(331, 326)","(20, 0)","(220, 26)"
5,"(252, 344)","(81, 0)","(2, 18)"
6,"(198, 374)","(54, 0)","(0, 30)"
7,"(482, 410)","(36, 0)","(320, 36)"
8,"(348, 446)","(136, 0)","(2, 36)"
9,"(822, 536)","(72, 0)","(546, 90)"
10,"(582, 598)","(246, 0)","(6, 62)"
11,"(1259, 684)","(159, 0)","(836, 86)"
12,"(857, 687)","(406, 9)","(4, 12)"
13,"(626, 709)","(231, 0)","(0, 22)"
14,"(1455, 829)","(141, 0)","(970, 120)"
15,"(985, 898)","(470, 5)","(0, 74)"
16,"(2199, 995)","(252, 1)","(1466, 98)"
17,"(1444, 1055)","(755, 4)","(0, 64)"
18,"(1034, 1076)","(410, 1)","(0, 22)"
19,"(2310, 1252)","(264, 6)","(1540, 182)"
20,"(1557, 1296)","(753, 6)","(0, 50)"
21,"(1128, 1338)","(429, 10)","(0, 52)"
2,"(157, 300)","(43, 0)","(0, 0)"
3,"(129, 300)","(28, 0)","(0, 0)"
4,"(333, 406)","(18, 0)","(222, 106)"
5,"(261, 416)","(72, 0)","(0, 10)"
6,"(645, 476)","(46, 0)","(430, 60)"
7,"(475, 504)","(170, 0)","(0, 28)"
8,"(1048, 592)","(125, 0)","(698, 88)"
9,"(704, 628)","(346, 0)","(2, 36)"
10,"(534, 646)","(170, 0)","(0, 18)"
11,"(1236, 678)","(120, 0)","(822, 32)"
12,"(844, 718)","(396, 8)","(4, 48)"
13,"(604, 746)","(240, 0)","(0, 28)"
14,"(1417, 784)","(129, 0)","(942, 38)"
15,"(973, 812)","(448, 2)","(4, 30)"
16,"(723, 852)","(250, 6)","(0, 46)"
17,"(1675, 885)","(162, 3)","(1114, 36)"
18,"(1135, 887)","(542, 6)","(2, 8)"
19,"(812, 955)","(329, 4)","(6, 72)"
20,"(1827, 976)","(197, 9)","(1212, 30)"
21,"(1247, 1021)","(590, 9)","(10, 54)"
2,"(163, 300)","(37, 0)","(0, 0)"
3,"(133, 300)","(30, 0)","(0, 0)"
4,"(336, 360)","(21, 0)","(224, 60)"
5,"(255, 382)","(81, 0)","(0, 22)"
6,"(591, 432)","(58, 0)","(394, 50)"
7,"(426, 464)","(165, 0)","(0, 32)"
8,"(308, 482)","(118, 0)","(0, 18)"
9,"(762, 532)","(54, 0)","(508, 50)"
10,"(531, 598)","(231, 0)","(0, 66)"
11,"(1206, 676)","(129, 0)","(804, 78)"
12,"(812, 730)","(394, 8)","(0, 62)"
13,"(1824, 808)","(204, 0)","(1216, 78)"
2,"(153, 300)","(47, 0)","(0, 0)"
3,"(126, 300)","(27, 0)","(0, 0)"
4,"(108, 300)","(18, 0)","(0, 0)"
5,"(273, 316)","(17, 0)","(182, 16)"
6,"(209, 342)","(64, 0)","(0, 26)"
7,"(498, 392)","(41, 0)","(330, 50)"
8,"(360, 412)","(142, 0)","(4, 20)"
9,"(278, 458)","(82, 0)","(0, 46)"
10,"(653, 494)","(59, 0)","(434, 36)"
11,"(468, 554)","(189, 0)","(4, 60)"
12,"(1066, 587)","(110, 7)","(708, 40)"
13,"(730, 655)","(342, 0)","(6, 68)"
14,"(1607, 707)","(189, 0)","(1066, 52)"
15,"(1055, 751)","(560, 0)","(8, 44)"
16,"(765, 778)","(294, 3)","(4, 30)"
17,"(1724, 874)","(187, 4)","(1146, 100)"
18,"(1158, 953)","(570, 9)","(4, 88)"
19,"(2509, 1036)","(317, 1)","(1668, 84)"
20,"(1625, 1050)","(892, 4)","(8, 18)"
21,"(1141, 1072)","(488, 8)","(4, 30)"
2,"(162, 300)","(38, 0)","(0, 0)"
3,"(137, 300)","(25, 0)","(0, 0)"
4,"(336, 318)","(25, 0)","(224, 18)"
5,"(244, 344)","(92, 0)","(0, 26)"
6,"(189, 394)","(55, 0)","(0, 50)"
7,"(459, 484)","(36, 0)","(306, 90)"
8,"(347, 540)","(112, 0)","(0, 56)"
9,"(845, 594)","(64, 0)","(562, 54)"
10,"(594, 680)","(255, 0)","(4, 86)"
11,"(1324, 736)","(148, 0)","(878, 56)"
12,"(925, 752)","(409, 6)","(10, 22)"
13,"(2005, 862)","(250, 0)","(1330, 110)"
14,"(1318, 944)","(699, 0)","(12, 82)"
15,"(2771, 994)","(385, 0)","(1838, 50)"
16,"(1744, 1021)","(1027, 3)","(0, 30)"
17,"(3598, 1086)","(544, 1)","(2398, 66)"
18,"(2209, 1139)","(1389, 5)","(0, 58)"
19,"(1495, 1147)","(728, 4)","(14, 12)"
20,"(3143, 1198)","(434, 13)","(2082, 64)"
21,"(2042, 1274)","(1121, 8)","(20, 84)"
2,"(166, 300)","(34, 0)","(0, 0)"
3,"(132, 300)","(34, 0)","(0, 0)"
4,"(339, 324)","(19, 0)","(226, 24)"
5,"(252, 346)","(87, 0)","(0, 22)"
6,"(199, 372)","(53, 0)","(0, 26)"
7,"(507, 452)","(30, 0)","(338, 80)"
8,"(373, 464)","(134, 0)","(0, 12)"
9,"(295, 494)","(78, 0)","(0, 30)"
10,"(732, 586)","(51, 0)","(488, 92)"
11,"(522, 644)","(210, 0)","(0, 58)"
12,"(1245, 757)","(107, 9)","(830, 122)"
13,"(861, 817)","(384, 0)","(0, 60)"
14,"(1929, 875)","(218, 0)","(1286, 58)"
15,"(1275, 887)","(654, 0)","(0, 12)"
16,"(2705, 1008)","(372, 3)","(1802, 124)"
17,"(1731, 1010)","(976, 10)","(2, 12)"
18,"(1179, 1123)","(552, 1)","(0, 114)"
19,"(2613, 1285)","(308, 0)","(1742, 162)"
20,"(1723, 1311)","(890, 6)","(0, 32)"
21,"(1227, 1379)","(496, 6)","(0, 74)"
2,"(164, 300)","(36, 0)","(0, 0)"
3,"(399, 356)","(31, 0)","(266, 56)"
4,"(292, 424)","(107, 0)","(0, 68)"
5,"(230, 424)","(62, 0)","(0, 0)"
6,"(573, 448)","(39, 0)","(382, 24)"
7,"(417, 472)","(156, 0)","(0, 24)"
8,"(327, 484)","(90, 0)","(0, 12)"
9,"(771, 528)","(70, 0)","(514, 44)"
10,"(538, 536)","(233, 0)","(0, 8)"
11,"(406, 596)","(132, 0)","(0, 60)"
12,"(984, 623)","(78, 7)","(656, 34)"
13,"(673, 635)","(311, 0)","(0, 12)"
14,"(503, 681)","(170, 6)","(0, 52)"
15,"(1170, 772)","(113, 7)","(780, 98)"
16,"(827, 827)","(343, 5)","(0, 60)"
17,"(1869, 919)","(204, 0)","(1246, 92)"
18,"(1232, 934)","(637, 7)","(0, 22)"
19,"(885, 960)","(347, 2)","(0, 28)"
20,"(2016, 1028)","(213, 2)","(1344, 70)"
21,"(1351, 1099)","(665, 3)","(0, 74)"
2,"(159, 300)","(41, 0)","(0, 0)"
3,"(134, 300)","(25, 0)","(0, 0)"
4,"(333, 370)","(23, 0)","(222, 70)"
5,"(258, 388)","(75, 0)","(0, 18)"
6,"(630, 430)","(48, 0)","(420, 42)"
7,"(434, 484)","(196, 0)","(0, 54)"
8,"(993, 562)","(103, 0)","(662, 78)"
9,"(673, 602)","(320, 0)","(0, 40)"
10,"(502, 630)","(171, 0)","(0, 28)"
11,"(1164, 714)","(114, 0)","(776, 84)"
12,"(804, 782)","(360, 8)","(0, 76)"
13,"(1803, 902)","(203, 0)","(1202, 120)"
14,"(1211, 970)","(592, 0)","(0, 68)"
15,"(2624, 1076)","(335, 2)","(1748, 108)"
16,"(1705, 1122)","(923, 0)","(4, 46)"
17,"(3582, 1274)","(507, 6)","(2384, 158)"
18,"(2276, 1304)","(1314, 2)","(8, 32)"
19,"(1553, 1336)","(723, 10)","(0, 42)"
20,"(3376, 1371)","(423, 13)","(2246, 48)"
21,"(2201, 1391)","(1185, 10)","(10, 30)"
2,"(162, 300)","(38, 0)","(0, 0)"
3,"(405, 352)","(27, 0)","(270, 52)"
4,"(295, 352)","(110, 0)","(0, 0)"
5,"(230, 366)","(65, 0)","(0, 14)"
6,"(548, 416)","(46, 0)","(364, 50)"
7,"(397, 468)","(155, 0)","(4, 52)"
8,"(905, 498)","(92, 0)","(600, 30)"
9,"(634, 530)","(279, 0)","(8, 32)"
10,"(1344, 618)","(182, 0)","(892, 88)"
11,"(894, 666)","(458, 0)","(8, 48)"
12,"(1884, 744)","(258, 16)","(1248, 94)"
13,"(1229, 772)","(671, 0)","(16, 28)"
14,"(2550, 829)","(371, 3)","(1692, 60)"
15,"(1606, 871)","(962, 0)","(18, 42)"
16,"(3199, 915)","(525, 0)","(2118, 44)"
17,"(1968, 915)","(1231, 12)","(0, 12)"
18,"(1328, 934)","(664, 5)","(24, 24)"
19,"(2699, 993)","(409, 11)","(1780, 70)"
20,"(1744, 1012)","(995, 11)","(40, 30)"
21,"(1194, 1027)","(550, 17)","(0, 32)"
2,"(88, 300)","(12, 0)","(0, 0)"
3,"(77, 300)","(11, 0)","(0, 0)"
4,"(216, 334)","(5, 0)","(144, 34)"
5,"(174, 372)","(42, 0)","(0, 38)"
6,"(145, 416)","(29, 0)","(0, 44)"
7,"(372, 550)","(21, 0)","(248, 134)"
8,"(295, 670)","(77, 0)","(0, 120)"
9,"(753, 812)","(44, 0)","(502, 142)"
10,"(569, 888)","(184, 0)","(0, 76)"
11,"(450, 954)","(119, 0)","(0, 66)"
12,"(1146, 993)","(68, 3)","(764, 42)"
13,"(833, 1117)","(313, 0)","(0, 124)"
14,"(647, 1197)","(186, 0)","(0, 80)"
15,"(1620, 1307)","(107, 0)","(1080, 110)"
16,"(1156, 1522)","(464, 1)","(0, 216)"
17,"(2701, 1596)","(255, 2)","(1800, 76)"
18,"(1843, 1740)","(860, 2)","(2, 146)"
19,"(4083, 2013)","(480, 5)","(2720, 278)"
20,"(2726, 2183)","(1363, 2)","(6, 172)"
21,"(1965, 2219)","(761, 12)","(0, 48)"
2,"(163, 300)","(37, 0)","(0, 0)"
3,"(405, 346)","(28, 0)","(270, 46)"
4,"(292, 422)","(113, 0)","(0, 76)"
5,"(664, 496)","(70, 0)","(442, 74)"
6,"(484, 540)","(182, 0)","(2, 44)"
7,"(1082, 604)","(122, 0)","(720, 64)"
8,"(731, 648)","(353, 0)","(2, 44)"
9,"(1590, 664)","(199, 0)","(1058, 16)"
10,"(1036, 698)","(554, 0)","(0, 34)"
11,"(2178, 806)","(310, 0)","(1452, 108)"
12,"(1378, 828)","(800, 14)","(0, 36)"
13,"(957, 850)","(427, 0)","(6, 22)"
14,"(2076, 903)","(259, 3)","(1378, 56)"
15,"(1364, 933)","(722, 4)","(10, 34)"
16,"(2846, 1026)","(408, 7)","(1890, 100)"
17,"(1821, 1065)","(1043, 5)","(18, 44)"
18,"(3689, 1155)","(578, 10)","(2446, 100)"
19,"(2316, 1213)","(1403, 8)","(30, 66)"
20,"(4575, 1300)","(771, 7)","(3030, 94)"
21,"(2830, 1334)","(1779, 14)","(34, 48)"
2,"(160, 300)","(40, 0)","(0, 0)"
3,"(139, 300)","(21, 0)","(0, 0)"
4,"(348, 352)","(23, 0)","(232, 52)"
5,"(260, 368)","(88, 0)","(0, 16)"
6,"(624, 446)","(52, 0)","(416, 78)"
7,"(430, 486)","(194, 0)","(0, 40)"
8,"(999, 554)","(97, 0)","(666, 68)"
9,"(679, 610)","(320, 0)","(0, 56)"
10,"(1514, 704)","(173, 0)","(1008, 94)"
11,"(994, 756)","(522, 0)","(2, 52)"
12,"(2162, 787)","(272, 11)","(1440, 42)"
13,"(1367, 839)","(797, 0)","(2, 52)"
14,"(2841, 901)","(420, 0)","(1894, 62)"
15,"(1760, 915)","(1081, 2)","(0, 16)"
16,"(1171, 949)","(589, 0)","(0, 34)"
17,"(2544, 1042)","(323, 3)","(1696, 96)"
18,"(1635, 1090)","(909, 4)","(0, 52)"
19,"(3435, 1155)","(490, 9)","(2290, 74)"
20,"(2164, 1239)","(1271, 12)","(0, 96)"
21,"(4404, 1308)","(696, 13)","(2936, 82)"
2,"(165, 300)","(35, 0)","(0, 0)"
3,"(139, 300)","(26, 0)","(0, 0)"
4,"(348, 364)","(23, 0)","(232, 64)"
5,"(267, 382)","(81, 0)","(0, 18)"
6,"(643, 414)","(52, 0)","(428, 32)"
7,"(445, 450)","(200, 0)","(2, 36)"
8,"(975, 536)","(118, 0)","(648, 86)"
9,"(677, 586)","(302, 0)","(4, 50)"
10,"(1464, 660)","(187, 0)","(974, 74)"
11,"(962, 696)","(506, 0)","(4, 36)"
12,"(2072, 735)","(268, 7)","(1378, 46)"
13,"(1309, 760)","(763, 1)","(0, 26)"
14,"(905, 788)","(408, 0)","(4, 28)"
15,"(1964, 806)","(247, 8)","(1306, 26)"
16,"(1270, 852)","(704, 0)","(10, 46)"
17,"(2655, 876)","(377, 6)","(1762, 30)"
18,"(1674, 917)","(997, 13)","(16, 54)"
