current_round,agents_data,death_data,birth_data
6,"(92, 300)","(0, 0)","(0, 0)"
7,"(240, 300)","(2, 0)","(150, 0)"
8,"(191, 302)","(39, 0)","(0, 2)"
9,"(150, 302)","(35, 0)","(0, 0)"
10,"(125, 314)","(21, 0)","(0, 12)"
11,"(312, 334)","(15, 0)","(204, 20)"
12,"(230, 339)","(65, 3)","(0, 8)"
13,"(184, 343)","(39, 2)","(0, 6)"
14,"(152, 361)","(31, 2)","(4, 20)"
15,"(131, 360)","(17, 1)","(0, 0)"
16,"(131, 366)","(0, 0)","(0, 6)"
17,"(303, 367)","(3, 1)","(176, 2)"
18,"(247, 371)","(55, 0)","(6, 4)"
19,"(205, 440)","(38, 1)","(4, 70)"
20,"(491, 447)","(4, 3)","(290, 10)"
21,"(369, 460)","(102, 1)","(6, 14)"
2,"(89, 300)","(11, 0)","(0, 0)"
3,"(82, 300)","(7, 0)","(0, 0)"
4,"(72, 300)","(8, 0)","(0, 0)"
5,"(202, 342)","(0, 0)","(130, 42)"
6,"(161, 374)","(33, 0)","(0, 32)"
7,"(142, 392)","(17, 0)","(0, 18)"
8,"(381, 422)","(1, 0)","(240, 30)"
9,"(289, 442)","(70, 0)","(0, 20)"
10,"(234, 464)","(46, 0)","(0, 22)"
11,"(564, 540)","(33, 0)","(370, 76)"
12,"(429, 565)","(109, 1)","(2, 26)"
13,"(339, 575)","(73, 0)","(0, 10)"
2,"(83, 300)","(15, 0)","(0, 0)"
3,"(73, 300)","(9, 0)","(0, 0)"
4,"(66, 300)","(7, 0)","(0, 0)"
5,"(184, 316)","(4, 0)","(122, 16)"
6,"(151, 326)","(30, 0)","(2, 10)"
7,"(131, 352)","(18, 0)","(0, 26)"
8,"(114, 376)","(16, 0)","(0, 24)"
9,"(309, 424)","(1, 0)","(196, 48)"
10,"(244, 498)","(55, 0)","(0, 74)"
11,"(588, 588)","(34, 0)","(384, 90)"
12,"(448, 644)","(116, 4)","(0, 60)"
13,"(1099, 746)","(65, 0)","(732, 102)"
14,"(774, 768)","(253, 0)","(0, 22)"
15,"(571, 826)","(169, 0)","(0, 58)"
16,"(584, 864)","(1, 0)","(14, 38)"
17,"(1285, 957)","(25, 1)","(726, 94)"
18,"(922, 1011)","(286, 0)","(0, 54)"
19,"(724, 1057)","(181, 0)","(24, 46)"
20,"(1633, 1207)","(25, 0)","(936, 150)"
21,"(1331, 1353)","(359, 0)","(150, 146)"
2,"(161, 300)","(33, 0)","(0, 0)"
3,"(133, 300)","(22, 0)","(0, 0)"
4,"(109, 300)","(18, 0)","(0, 0)"
2,"(156, 300)","(37, 0)","(0, 0)"
3,"(135, 300)","(20, 0)","(0, 0)"
4,"(115, 300)","(19, 0)","(0, 0)"
5,"(325, 308)","(0, 0)","(210, 8)"
6,"(240, 320)","(70, 0)","(0, 12)"
7,"(188, 324)","(46, 0)","(0, 4)"
8,"(286, 634)","(29, 0)","(0, 6)"
9,"(450, 644)","(60, 0)","(0, 4)"
10,"(357, 690)","(24, 0)","(192, 10)"
11,"(500, 705)","(77, 0)","(0, 46)"
12,"(735, 719)","(34, 9)","(184, 24)"
13,"(557, 739)","(60, 0)","(302, 14)"
14,"(446, 751)","(147, 0)","(2, 20)"
15,"(581, 796)","(98, 0)","(0, 12)"
16,"(866, 829)","(68, 1)","(214, 46)"
17,"(648, 871)","(172, 0)","(2, 42)"
18,"(822, 972)","(70, 1)","(370, 34)"
19,"(1212, 1064)","(88, 0)","(496, 92)"
20,"(900, 1113)","(114, 11)","(306, 112)"
21,"(1214, 1141)","(107, 4)","(446, 32)"
22,"(1214, 1141)","(251, 3)","(0, 52)"
2,"(87, 300)","(12, 0)","(0, 0)"
3,"(80, 300)","(6, 0)","(0, 0)"
2,"(164, 300)","(30, 0)","(0, 0)"
3,"(133, 300)","(26, 0)","(0, 0)"
4,"(118, 300)","(14, 0)","(0, 0)"
5,"(324, 304)","(0, 0)","(206, 4)"
6,"(239, 320)","(67, 0)","(0, 16)"
7,"(186, 346)","(45, 0)","(0, 26)"
8,"(481, 398)","(3, 0)","(298, 52)"
9,"(352, 416)","(103, 0)","(2, 18)"
10,"(792, 454)","(64, 0)","(514, 38)"
11,"(539, 492)","(200, 0)","(2, 38)"
12,"(399, 483)","(110, 10)","(0, 2)"
13,"(948, 537)","(69, 0)","(630, 54)"
14,"(654, 583)","(224, 0)","(0, 46)"
15,"(1429, 623)","(135, 0)","(950, 40)"
16,"(952, 636)","(351, 1)","(0, 14)"
17,"(670, 648)","(224, 0)","(2, 12)"
18,"(1484, 700)","(130, 0)","(980, 52)"
19,"(1000, 732)","(366, 2)","(0, 34)"
20,"(708, 759)","(231, 1)","(0, 28)"
21,"(1598, 796)","(137, 3)","(1056, 40)"
2,"(89, 300)","(10, 0)","(0, 0)"
3,"(75, 300)","(11, 0)","(0, 0)"
4,"(66, 300)","(7, 0)","(0, 0)"
5,"(182, 336)","(0, 0)","(116, 36)"
6,"(142, 352)","(33, 0)","(0, 16)"
7,"(123, 382)","(17, 0)","(0, 30)"
8,"(318, 426)","(1, 0)","(196, 44)"
9,"(257, 446)","(52, 0)","(0, 20)"
10,"(207, 464)","(44, 0)","(0, 18)"
11,"(170, 494)","(33, 0)","(0, 30)"
12,"(421, 585)","(20, 1)","(274, 92)"
13,"(333, 605)","(75, 0)","(0, 20)"
14,"(268, 657)","(56, 0)","(0, 52)"
15,"(674, 757)","(36, 0)","(448, 100)"
16,"(516, 846)","(133, 1)","(0, 90)"
17,"(460, 978)","(73, 0)","(32, 132)"
18,"(1145, 1022)","(5, 0)","(690, 44)"
19,"(858, 1116)","(224, 0)","(0, 94)"
20,"(727, 1226)","(151, 0)","(50, 110)"
21,"(1715, 1346)","(20, 2)","(1012, 122)"
2,"(86, 300)","(12, 0)","(0, 0)"
3,"(74, 300)","(12, 0)","(0, 0)"
4,"(69, 300)","(5, 0)","(0, 0)"
5,"(197, 310)","(0, 0)","(128, 10)"
6,"(163, 348)","(27, 0)","(0, 38)"
7,"(407, 412)","(18, 0)","(266, 64)"
8,"(315, 454)","(83, 0)","(6, 42)"
9,"(252, 474)","(55, 0)","(2, 20)"
10,"(248, 488)","(4, 0)","(0, 14)"
11,"(580, 526)","(7, 0)","(340, 38)"
12,"(431, 563)","(121, 5)","(2, 42)"
13,"(928, 615)","(73, 0)","(584, 52)"
14,"(662, 643)","(212, 0)","(10, 28)"
15,"(493, 667)","(134, 0)","(2, 24)"
16,"(1145, 742)","(86, 1)","(754, 76)"
17,"(835, 810)","(258, 0)","(16, 68)"
18,"(677, 866)","(175, 0)","(58, 56)"
19,"(1534, 897)","(27, 1)","(886, 32)"
20,"(1079, 911)","(362, 0)","(22, 14)"
21,"(821, 989)","(231, 0)","(38, 78)"
2,"(161, 300)","(32, 0)","(0, 0)"
3,"(133, 300)","(25, 0)","(0, 0)"
4,"(117, 300)","(15, 0)","(0, 0)"
5,"(317, 336)","(0, 0)","(200, 36)"
6,"(237, 354)","(64, 0)","(0, 18)"
7,"(189, 372)","(40, 0)","(0, 18)"
8,"(487, 394)","(2, 0)","(300, 22)"
9,"(354, 434)","(106, 0)","(0, 40)"
10,"(762, 478)","(71, 0)","(492, 44)"
11,"(539, 508)","(184, 0)","(8, 30)"
12,"(425, 525)","(111, 6)","(16, 24)"
13,"(336, 537)","(75, 0)","(4, 12)"
14,"(817, 573)","(5, 0)","(486, 36)"
15,"(615, 615)","(180, 0)","(28, 42)"
16,"(468, 629)","(124, 2)","(4, 16)"
17,"(1057, 659)","(13, 0)","(602, 30)"
18,"(728, 679)","(258, 0)","(0, 20)"
19,"(615, 723)","(153, 2)","(76, 46)"
20,"(1280, 793)","(34, 0)","(708, 70)"
21,"(956, 859)","(310, 0)","(68, 66)"
2,"(87, 300)","(11, 0)","(0, 0)"
3,"(81, 300)","(6, 0)","(0, 0)"
4,"(223, 344)","(0, 0)","(142, 44)"
5,"(175, 360)","(43, 0)","(2, 16)"
6,"(143, 384)","(29, 0)","(0, 24)"
7,"(123, 402)","(17, 0)","(0, 18)"
8,"(331, 446)","(2, 0)","(210, 44)"
9,"(263, 478)","(57, 0)","(0, 32)"
10,"(228, 492)","(42, 0)","(12, 14)"
11,"(510, 540)","(34, 0)","(320, 48)"
12,"(389, 601)","(105, 1)","(4, 62)"
13,"(341, 691)","(63, 0)","(30, 90)"
14,"(806, 741)","(7, 0)","(472, 50)"
15,"(616, 813)","(158, 0)","(4, 72)"
16,"(1415, 894)","(93, 3)","(912, 84)"
17,"(1003, 950)","(327, 0)","(16, 56)"
18,"(744, 975)","(207, 1)","(2, 26)"
19,"(654, 1036)","(127, 1)","(58, 62)"
20,"(1527, 1156)","(24, 0)","(900, 120)"
21,"(1100, 1190)","(335, 0)","(0, 34)"
2,"(88, 300)","(11, 0)","(0, 0)"
3,"(78, 300)","(8, 0)","(0, 0)"
4,"(73, 300)","(5, 0)","(0, 0)"
5,"(62, 300)","(11, 0)","(0, 0)"
6,"(178, 314)","(0, 0)","(116, 14)"
7,"(151, 328)","(23, 0)","(0, 14)"
8,"(132, 354)","(16, 0)","(0, 26)"
9,"(350, 378)","(0, 0)","(218, 24)"
10,"(271, 400)","(67, 0)","(0, 22)"
11,"(215, 438)","(46, 0)","(0, 38)"
12,"(218, 465)","(3, 3)","(6, 30)"
13,"(489, 513)","(9, 0)","(280, 48)"
14,"(373, 539)","(97, 0)","(0, 26)"
15,"(340, 564)","(55, 1)","(30, 26)"
16,"(747, 590)","(11, 0)","(418, 26)"
17,"(545, 596)","(168, 4)","(4, 10)"
18,"(410, 631)","(116, 1)","(0, 36)"
19,"(928, 729)","(63, 0)","(594, 98)"
20,"(682, 809)","(205, 0)","(10, 80)"
21,"(581, 846)","(133, 1)","(58, 38)"
2,"(89, 300)","(10, 0)","(0, 0)"
3,"(77, 300)","(12, 0)","(0, 0)"
4,"(69, 300)","(7, 0)","(0, 0)"
5,"(195, 310)","(0, 0)","(126, 10)"
6,"(157, 318)","(32, 0)","(2, 8)"
7,"(129, 342)","(23, 0)","(0, 24)"
8,"(334, 376)","(1, 0)","(206, 34)"
9,"(265, 408)","(64, 0)","(10, 32)"
10,"(210, 440)","(48, 0)","(0, 32)"
11,"(537, 494)","(5, 0)","(332, 54)"
12,"(418, 510)","(107, 2)","(10, 18)"
13,"(337, 578)","(83, 0)","(14, 68)"
14,"(798, 600)","(9, 0)","(470, 22)"
15,"(601, 627)","(184, 1)","(20, 28)"
16,"(451, 663)","(130, 0)","(6, 36)"
17,"(970, 694)","(80, 1)","(614, 32)"
18,"(712, 733)","(229, 1)","(20, 40)"
19,"(1539, 852)","(142, 1)","(1004, 120)"
20,"(1077, 910)","(381, 0)","(30, 58)"
21,"(815, 1000)","(216, 0)","(16, 90)"
2,"(89, 300)","(11, 0)","(0, 0)"
3,"(82, 300)","(7, 0)","(0, 0)"
4,"(230, 344)","(0, 0)","(148, 44)"
5,"(187, 376)","(36, 0)","(2, 32)"
6,"(158, 416)","(28, 0)","(0, 40)"
7,"(417, 484)","(1, 0)","(260, 68)"
8,"(327, 562)","(86, 0)","(14, 78)"
9,"(733, 602)","(57, 0)","(470, 40)"
10,"(544, 664)","(166, 0)","(20, 62)"
11,"(1212, 722)","(100, 0)","(794, 58)"
12,"(840, 772)","(291, 2)","(0, 52)"
13,"(649, 818)","(165, 0)","(18, 46)"
14,"(1597, 854)","(12, 0)","(962, 36)"
15,"(1098, 890)","(397, 0)","(2, 36)"
16,"(805, 948)","(246, 0)","(14, 58)"
17,"(1666, 1060)","(150, 0)","(1050, 112)"
18,"(1174, 1132)","(396, 0)","(6, 72)"
19,"(2600, 1275)","(235, 1)","(1714, 144)"
20,"(1773, 1363)","(636, 2)","(14, 90)"
21,"(1401, 1427)","(392, 4)","(112, 68)"
2,"(90, 300)","(10, 0)","(0, 0)"
3,"(76, 300)","(13, 0)","(0, 0)"
4,"(70, 300)","(6, 0)","(0, 0)"
5,"(194, 312)","(0, 0)","(124, 12)"
