player_choice,computer_choice,result,round_number,player_health,computer_health,player_char
1,0,0,38,84,100,2
1,0,0,39,84,100,2
1,0,0,40,84,100,2
1,0,0,41,84,100,2
1,0,0,42,84,100,2
1,0,0,43,84,100,2
1,0,0,44,84,100,2
1,0,0,45,84,100,2
1,0,0,46,84,100,2
0,0,1,47,84,78,2
0,0,1,48,68,78,2
1,0,2,49,68,62,2
1,0,3,50,68,46,2
1,0,4,51,68,30,2
1,0,5,52,68,14,2
1,0,5,53,49,14,2
1,0,5,54,30,14,2
1,0,5,55,11,14,2
1,0,5,56,-8,14,2
2,0,0,1,100,100,1
1,0,1,2,100,81,1
0,0,1,3,100,81,1
1,0,1,4,81,81,1
2,0,1,5,59,81,1
1,0,2,6,59,62,1
0,0,3,7,59,37,1
2,2,0,1,100,100,2
0,2,0,2,75,100,2
1,2,0,3,75,100,2
2,2,0,4,50,100,2
0,2,1,5,50,75,2
1,2,1,6,19,75,2
2,2,1,7,-6,75,2
1,0,0,1,81,100,2
1,0,0,2,81,100,2
1,0,0,3,81,100,2
1,0,0,4,81,100,2
1,0,0,5,81,100,2
1,0,0,6,81,100,2
1,0,0,7,81,100,2
1,0,0,8,81,100,2
1,0,0,9,81,100,2
1,0,0,10,62,100,2
1,0,0,11,43,100,2
1,0,0,12,24,100,2
1,0,0,13,5,100,2
2,0,1,14,5,75,2
0,0,1,15,5,75,2
2,0,1,16,5,75,2
0,0,1,17,5,75,2
2,0,1,18,5,75,2
1,0,1,19,-14,75,2
1,4,0,1,78,100,4
1,4,0,2,78,100,4
1,4,0,3,78,100,4
1,4,0,4,78,100,4
1,4,0,5,78,100,4
1,4,0,6,78,100,4
1,4,0,7,78,100,4
1,4,0,8,78,100,4
1,4,0,9,78,100,4
1,4,0,10,56,100,4
1,4,0,11,34,100,4
1,4,1,12,34,75,4
1,4,2,13,34,50,4
1,4,3,14,34,25,4
1,4,4,15,34,0,4
1,1,0,1,75,100,2
1,1,1,2,75,81,2
1,1,2,3,75,62,2
1,1,2,4,75,62,2
1,1,2,5,75,62,2
1,1,2,6,75,62,2
1,1,2,7,75,62,2
1,1,2,8,75,62,2
1,1,2,9,75,62,2
1,1,2,10,50,62,2
1,1,3,11,50,43,2
1,1,4,12,50,24,2
1,1,4,13,50,24,2
1,1,4,14,50,24,2
1,1,4,15,50,24,2
1,1,4,16,50,24,2
1,1,4,17,50,24,2
1,1,4,18,50,24,2
1,1,4,19,50,24,2
1,1,4,20,50,24,2
1,1,4,21,50,24,2
1,1,4,22,50,24,2
1,1,4,23,50,24,2
1,1,4,24,50,24,2
1,1,4,25,50,24,2
1,1,4,26,25,24,2
1,1,4,27,0,24,2
1,4,1,1,100,75,1
1,5,1,1,100,75,2
1,5,1,2,100,75,2
2,5,1,3,75,75,2
1,5,1,4,75,75,2
2,5,1,5,50,75,2
0,5,2,6,50,44,2
1,5,2,7,25,44,2
2,5,3,8,25,19,2
0,5,3,9,3,19,2
1,5,3,10,3,19,2
1,5,4,11,3,-6,2
2,5,0,1,100,100,4
1,5,1,2,100,81,4
0,5,1,3,100,81,4
1,5,1,4,75,81,4
2,5,1,5,50,81,4
1,5,1,6,25,81,4
2,5,1,7,0,81,4
2,4,1,1,100,78,2
1,4,1,2,100,78,2
2,4,1,3,75,78,2
2,4,1,4,50,78,2
0,4,1,5,28,78,2
1,4,1,6,28,78,2
1,4,1,7,28,78,2
1,4,1,8,28,78,2
1,4,1,9,28,78,2
1,4,1,10,28,78,2
1,4,1,11,28,78,2
1,4,1,12,28,78,2
1,4,2,13,28,59,2
1,4,3,14,28,40,2
1,4,4,15,28,21,2
1,4,5,16,28,2,2
1,4,6,17,28,-17,2
2,1,1,1,100,78,0
1,1,1,2,100,78,0
1,1,1,3,75,78,0
1,1,1,4,75,78,0
2,1,1,5,56,78,0
1,1,1,6,31,78,0
2,1,1,7,12,78,0
1,1,1,8,-13,78,0
1,1,0,1,75,100,4
1,1,1,2,75,75,4
1,1,2,3,75,50,4
1,1,3,4,75,25,4
1,1,4,5,75,0,4
1,1,0,1,75,100,3
1,1,1,2,75,84,3
1,1,1,3,75,84,3
1,1,1,4,75,84,3
1,1,1,5,75,84,3
1,1,1,6,75,84,3
1,1,1,7,75,84,3
1,1,1,8,75,84,3
1,1,1,9,75,84,3
2,1,2,10,75,59,3
1,1,2,11,75,59,3
1,1,2,12,50,59,3
1,1,3,13,50,43,3
1,1,4,14,50,27,3
1,1,5,15,50,11,3
1,1,6,16,50,-5,3
1,2,0,1,69,100,3
1,2,0,2,69,100,3
1,2,0,3,69,100,3
1,2,0,4,69,100,3
1,2,0,5,69,100,3
1,2,0,6,69,100,3
1,2,0,7,69,100,3
1,2,0,8,69,100,3
1,2,0,9,69,100,3
1,2,0,10,69,100,3
1,2,0,11,69,100,3
1,2,0,12,69,100,3
1,2,0,13,69,100,3
1,2,0,14,69,100,3
1,2,0,15,69,100,3
1,2,0,16,69,100,3
1,2,0,17,69,100,3
1,2,0,18,69,100,3
1,2,0,19,69,100,3
1,2,0,20,69,100,3
1,2,0,21,69,100,3
1,2,0,22,69,100,3
1,2,0,23,69,100,3
1,2,0,24,69,100,3
1,2,0,25,69,100,3
1,2,0,26,69,100,3
1,2,0,27,69,100,3
1,2,0,28,69,100,3
1,2,0,29,69,100,3
1,2,1,30,69,84,3
1,2,2,31,69,68,3
1,2,2,32,69,68,3
1,2,2,33,69,68,3
1,2,2,34,69,68,3
1,2,2,35,69,68,3
1,2,2,36,69,68,3
1,2,2,37,69,68,3
1,2,2,38,69,68,3
1,2,2,39,69,68,3
1,2,2,40,69,68,3
1,2,2,41,69,68,3
1,2,2,42,69,68,3
1,2,2,43,69,68,3
1,2,2,44,69,68,3
1,2,2,45,69,68,3
1,2,2,46,69,68,3
1,2,2,47,69,68,3
1,2,2,48,69,68,3
1,2,2,49,69,68,3
1,2,2,50,69,68,3
1,2,2,51,69,68,3
1,2,2,52,69,68,3
1,2,2,53,69,68,3
1,2,2,54,69,68,3
1,2,2,55,69,68,3
1,2,2,56,69,68,3
1,2,2,57,69,68,3
1,2,2,58,69,68,3
1,2,2,59,69,68,3
1,2,2,60,69,68,3
1,2,2,61,69,68,3
1,2,2,62,69,68,3
1,2,2,63,69,68,3
1,2,2,64,69,68,3
1,2,2,65,69,68,3
1,2,2,66,69,68,3
1,2,2,67,69,68,3
1,2,2,68,69,68,3
1,2,2,69,69,68,3
1,2,2,70,69,68,3
1,2,2,71,69,68,3
1,2,2,72,69,68,3
1,2,2,73,69,68,3
1,2,2,74,69,68,3
1,2,2,75,69,68,3
1,2,2,76,69,68,3
1,2,2,77,69,68,3
1,2,2,78,69,68,3
1,2,2,79,69,68,3
1,2,2,80,69,68,3
1,2,2,81,69,68,3
1,2,2,82,69,68,3
1,2,2,83,69,68,3
1,2,2,84,69,68,3
1,2,2,85,69,68,3
1,2,2,86,69,68,3
1,2,2,87,69,68,3
1,2,2,88,69,68,3
1,2,2,89,69,68,3
1,2,2,90,69,68,3
1,2,2,91,69,68,3
1,2,2,92,69,68,3
1,2,2,93,69,68,3
1,2,2,94,69,68,3
1,2,2,95,69,68,3
1,2,2,96,69,68,3
1,2,2,97,69,68,3
1,2,2,98,69,68,3
1,2,2,99,69,68,3
1,2,2,100,69,68,3
1,2,2,101,69,68,3
1,2,2,102,69,68,3
1,2,2,103,69,68,3
1,2,2,104,69,68,3
1,2,2,105,69,68,3
1,2,2,106,69,68,3
1,2,2,107,69,68,3
1,2,2,108,69,68,3
1,2,2,109,69,68,3
1,2,2,110,69,68,3
1,2,2,111,69,68,3
1,2,2,112,69,68,3
1,2,2,113,69,68,3
1,2,2,114,69,68,3
1,2,2,115,69,68,3
1,2,2,116,69,68,3
1,2,2,117,69,68,3
1,2,2,118,69,68,3
1,2,2,119,69,68,3
1,2,2,120,69,68,3
1,2,2,121,69,68,3
1,2,2,122,69,68,3
1,2,2,123,69,68,3
1,2,2,124,69,68,3
1,2,2,125,69,68,3
2,2,2,126,44,68,3
1,2,2,127,44,68,3
1,2,2,128,44,68,3
1,2,2,129,44,68,3
1,2,2,130,44,68,3
1,2,2,131,44,68,3
1,2,2,132,44,68,3
1,2,2,133,44,68,3
1,2,2,134,44,68,3
1,2,2,135,44,68,3
